split_seed,bin_width,age_bin_start,sex,finding,positive_cases,warning_cutoff,too_few_positive_cases,zero_positive_cases,status
3658676649,5,0,F,Atelectasis,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Consolidation,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Infiltration,2,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Pneumothorax,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Edema,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Emphysema,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Fibrosis,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Effusion,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Pneumonia,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Pleural_Thickening,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Cardiomegaly,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Nodule,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Mass,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,0,F,Hernia,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Atelectasis,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Consolidation,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Infiltration,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Pneumothorax,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Edema,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Emphysema,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Fibrosis,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Effusion,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Pneumonia,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Pleural_Thickening,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Cardiomegaly,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Nodule,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Mass,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,5,F,Hernia,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Atelectasis,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Consolidation,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Infiltration,7,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Pneumothorax,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Edema,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Emphysema,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Fibrosis,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Effusion,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Pneumonia,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Pleural_Thickening,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Cardiomegaly,2,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Nodule,3,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Mass,2,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,10,F,Hernia,0,10,True,True,exploratory warning; cutoff was not prespecified
3658676649,5,15,F,Atelectasis,2,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,15,F,Consolidation,2,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,15,F,Infiltration,10,10,False,False,exploratory warning; cutoff was not prespecified
3658676649,5,15,F,Pneumothorax,1,10,True,False,exploratory warning; cutoff was not prespecified
3658676649,5,15,F,Edema,1,10,True,False,exploratory warning; cutoff was not prespecified
